driverId,driverRef,dob,nationality
1,hamilton,07/01/1985,British
2,heidfeld,10/05/1977,German
3,rosberg,27/06/1985,German
4,alonso,29/07/1981,Spanish
5,kovalainen,19/10/1981,Finnish
6,nakajima,11/01/1985,Japanese
7,bourdais,28/02/1979,French
8,raikkonen,17/10/1979,Finnish
9,kubica,07/12/1984,Polish
10,glock,18/03/1982,German
11,sato,28/01/1977,Japanese
12,piquet_jr,25/07/1985,Brazilian
13,massa,25/04/1981,Brazilian
14,coulthard,27/03/1971,British
15,trulli,13/07/1974,Italian
16,sutil,11/01/1983,German
17,webber,27/08/1976,Australian
18,button,19/01/1980,British
19,davidson,18/04/1979,British
20,vettel,03/07/1987,German
21,fisichella,14/01/1973,Italian
22,barrichello,23/05/1972,Brazilian
23,ralf_schumacher,30/06/1975,German
24,liuzzi,06/08/1980,Italian
25,wurz,15/02/1974,Austrian
26,speed,24/01/1983,American
27,albers,16/04/1979,Dutch
28,markus_winkelhock,13/06/1980,German
29,yamamoto,09/07/1982,Japanese
30,michael_schumacher,03/01/1969,German
31,montoya,20/09/1975,Colombian
32,klien,07/02/1983,Austrian
33,monteiro,24/07/1976,Portuguese
34,ide,21/01/1975,Japanese
35,villeneuve,09/04/1971,Canadian
36,montagny,05/01/1978,French
37,rosa,24/02/1971,Spanish
38,doornbos,23/09/1981,Dutch
39,karthikeyan,14/01/1977,Indian
40,friesacher,26/09/1980,Austrian
41,zonta,23/03/1976,Brazilian
42,pizzonia,11/09/1980,Brazilian
43,matta,19/09/1973,Brazilian
44,panis,02/09/1966,French
45,pantano,04/02/1979,Italian
46,bruni,30/05/1981,Italian
47,baumgartner,01/01/1981,Hungarian
48,gene,29/03/1974,Spanish
49,frentzen,18/05/1967,German
50,verstappen,04/03/1972,Dutch
51,wilson,31/07/1978,British
52,firman,20/05/1975,Irish
53,kiesa,03/03/1978,Danish
54,burti,05/03/1975,Brazilian
55,alesi,11/06/1964,French
56,irvine,10/11/1965,British
57,hakkinen,28/09/1968,Finnish
58,marques,19/01/1976,Brazilian
59,bernoldi,19/10/1978,Brazilian
60,mazzacane,08/05/1975,Argentine
61,enge,11/09/1976,Czech
62,yoong,20/07/1976,Malaysian
63,salo,30/11/1966,Finnish
64,diniz,22/05/1970,Brazilian
65,herbert,25/06/1964,British
66,mcnish,29/12/1969,British
67,buemi,31/10/1988,Swiss
68,takagi,12/02/1974,Japanese
69,badoer,25/01/1971,Italian
70,zanardi,23/10/1966,Italian
71,damon_hill,17/09/1960,British
72,sarrazin,02/11/1975,French
73,rosset,27/07/1968,Brazilian
74,tuero,22/04/1978,Argentine
75,nakano,01/04/1971,Japanese
76,magnussen,04/07/1973,Danish
77,berger,27/08/1959,Austrian
78,larini,19/03/1964,Italian
79,katayama,29/05/1963,Japanese
80,sospiri,07/10/1966,Italian
81,morbidelli,13/01/1968,Italian
82,fontana,20/01/1975,Argentine
83,lamy,20/03/1972,Portuguese
84,brundle,01/06/1959,British
85,montermini,30/05/1964,Italian
86,lavaggi,18/02/1958,Italian
87,blundell,08/04/1966,British
88,suzuki,08/09/1960,Japanese
89,inoue,05/09/1963,Japanese
90,moreno,11/02/1959,Brazilian
91,wendlinger,20/12/1968,Austrian
92,gachot,23/12/1962,Belgian
93,schiattarella,17/11/1967,Italian
