Italy,14,13,14,10,10,22,22,18,12,5,11,14,10,20,13,14,12,6,7,,15,20,12,8,2,18,12,15,10,13,20,22,20,22,10,13,18,24,3
France,16,11,14,6,12,17,13,15,12,3,17,13,,5,22,13,13,19,16,4,6,13,6,10,24,12,8,5,18,12,6,22,22,8,24,12,18,15,17
Switzerland,24,15,15,4,16,3,13,2,8,18,14,19,13,10,12,4,18,8,18,,16,14,10,7,12,13,9,14,13,12,6,7,2,12,17,10,,15,9
Iceland,,20,22,,8,,14,,15,22,11,20,7,7,9,,,18,1,14,15,7,5,5,18,4,12,18,11,,1,,12,13,12,17,10,10,20
Ukraine,4,15,7,14,20,6,8,6,10,1,9,10,12,13,9,6,11,14,16,13,13,24,6,10,8,4,8,12,12,12,7,5,8,7,6,12,2,,4
Finland,6,3,5,5,14,9,6,7,5,15,19,,1,,8,6,17,5,4,18,12,7,9,5,4,2,6,8,5,14,8,5,17,8,2,12,5,8,11
Malta,8,20,6,7,7,5,3,11,7,6,1,1,,1,8,9,4,14,10,7,2,3,,7,8,5,15,4,4,14,4,7,,5,11,14,6,5,6
Lithuania,,6,3,,7,,2,5,1,4,12,8,,13,13,,4,16,13,17,18,,6,2,3,,12,4,,3,2,6,,,6,7,5,10,12
Russia,,1,,18,7,7,7,9,7,,6,5,10,4,7,3,2,,17,7,11,4,,22,8,2,,3,11,,,1,6,9,,3,3,4,
Greece,14,,,10,,10,,24,8,,,2,12,12,,,4,,,,,,6,15,10,,1,,2,,7,15,6,11,1,,,,
Bulgaria,5,2,5,1,6,,,12,4,6,6,10,,4,,8,8,1,1,,5,2,,12,,,6,,12,2,6,5,6,,12,,10,,13
Portugal,,,7,2,1,6,1,1,12,,5,,16,8,,,12,2,,6,,6,7,2,6,,,8,,10,,,5,,6,,15,2,7
Moldova,7,,,9,,12,,,12,,,2,7,2,,10,,,,2,,,,,,,,,8,18,15,11,,,,,,,
Sweden,1,,,5,7,1,,,,12,1,8,3,,4,,10,1,,,1,1,16,3,,3,18,1,4,,,,4,,,,3,2,
Serbia,1,2,12,,,5,19,,,,,,3,,3,,,,,4,,,4,,,24,,,,,,,,12,,1,12,,
Cyprus,9,4,,,,,,,,,,,2,,7,24,,,3,,,,6,1,,8,,,,,14,8,2,,6,,,,
Israel,,,,12,,3,5,2,,1,,,10,,,,,,,4,,1,,,4,8,8,6,,1,5,,2,1,3,4,,7,6
Norway,,1,1,7,1,,,,,11,4,4,,,1,,1,7,,2,2,5,10,,,,,3,,,,,,2,,10,,1,2
Belgium,,,,3,,,,4,3,,,,6,,,3,,3,6,5,,9,,,6,,,3,5,,3,,,6,,1,,7,1
Azerbaijan,2,,,,,4,2,,,,,,,8,,2,,2,4,,,,,7,2,3,1,,,4,12,,4,,,,2,6,
Albania,,,,,,,1,,,7,,,,,,7,,,,10,,,12,,1,10,,,,,,2,,,,,7,,
San Marino,5,,,3,,,,,,5,,,4,7,,7,,,,3,,,1,,,,,12,,,,,,,,,,,3
Netherlands,,3,3,,,2,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,
Spain,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Germany,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
