"Country","Region","Year","Population","LifeExpectancy","HealthExpenditure"
"Albania","Europe & Central Asia",2010,3204284,76.90095122,220.2285618
"Algeria","Middle East & North Africa",2010,35468208,72.85253659,198.1556376
"Angola","Sub-Saharan Africa",2010,19081912,50.65365854,146.1098503
"Argentina","Latin America & Caribbean",2010,40412376,75.63214634,759.2994333
"Armenia","Europe & Central Asia",2010,3092072,73.78356098,133.7855992
"Australia","East Asia & Pacific",2010,22065300,81.69512195,5173.502443
"Austria","Europe & Central Asia",2010,8389771,80.38292683,4964.154032
"Azerbaijan","Europe & Central Asia",2010,9054332,70.5065122,307.143758
"Bahamas, The","Latin America & Caribbean",2010,342877,75.22212195,1704.175024
"Bahrain","Middle East & North Africa",2010,1261835,75.02382927,747.5676034
"Bangladesh","South Asia",2010,148692131,68.63480488,24.76974672
"Barbados","Latin America & Caribbean",2010,273331,76.57282927,1003.432519
"Belarus","Europe & Central Asia",2010,9490000,70.40487805,319.6404007
"Belgium","Europe & Central Asia",2010,10895586,80.23414634,4548.253106
"Belize","Latin America & Caribbean",2010,344700,75.83995122,262.0861784
"Benin","Sub-Saharan Africa",2010,8849892,55.58558537,32.74173045
"Bhutan","South Asia",2010,725940,66.90885366,89.09907008
"Bolivia","Latin America & Caribbean",2010,9929849,66.26856098,108.2405534
"Bosnia and Herzegovina","Europe & Central Asia",2010,3760149,75.40043902,452.8535376
"Botswana","Sub-Saharan Africa",2010,2006945,53.1095122,382.0207748
"Brazil","Latin America & Caribbean",2010,194946470,73.09953659,990.2665826
"Brunei Darussalam","East Asia & Pacific",2010,398920,77.93202439,914.7369492
"Bulgaria","Europe & Central Asia",2010,7534289,73.51219512,480.1895778
"Burkina Faso","Sub-Saharan Africa",2010,16468714,54.92419512,39.09643151
"Burundi","Sub-Saharan Africa",2010,8382849,49.87721951,22.57734631
"Cambodia","East Asia & Pacific",2010,14138255,62.53621951,47.9756782
"Cameroon","Sub-Saharan Africa",2010,19598889,51.0627561,61.34140038
"Canada","North America",2010,34126547,80.79780488,5257.409923
"Cape Verde","Sub-Saharan Africa",2010,495999,73.77404878,144.7392528
"Central African Republic","Sub-Saharan Africa",2010,4401051,47.61846341,17.15777614
"Chad","Sub-Saharan Africa",2010,11227208,49.19482927,30.64455166
"Chile","Latin America & Caribbean",2010,17113688,78.88573171,932.5717268
"China","East Asia & Pacific",2010,1337705000,73.27309756,218.7801814
"Colombia","Latin America & Caribbean",2010,46294841,73.42968293,407.2042206
"Comoros","Sub-Saharan Africa",2010,734750,60.62626829,39.06400434
"Congo, Dem. Rep.","Sub-Saharan Africa",2010,65965795,48.06958537,14.85547976
"Congo, Rep.","Sub-Saharan Africa",2010,4042899,56.96019512,68.10026466
"Costa Rica","Latin America & Caribbean",2010,4658887,79.19260976,802.1360128
"Cote d'Ivoire","Sub-Saharan Africa",2010,19737800,54.74156098,70.81381365
"Croatia","Europe & Central Asia",2010,4418000,76.47560976,1050.689577
"Cuba","Latin America & Caribbean",2010,11257979,78.96414634,583.371882
"Cyprus","Europe & Central Asia",2010,1103647,79.38039024,2011.790843
"Czech Republic","Europe & Central Asia",2010,10519792,77.42439024,1402.636017
"Denmark","Europe & Central Asia",2010,5547683,79.1,6253.248582
"Djibouti","Middle East & North Africa",2010,888716,57.52739024,99.0097519
"Dominican Republic","Latin America & Caribbean",2010,9927320,73.20002439,280.5456467
"Ecuador","Latin America & Caribbean",2010,14464739,75.46229268,318.4353037
"Egypt, Arab Rep.","Middle East & North Africa",2010,81121077,72.97526829,125.2886577
"El Salvador","Latin America & Caribbean",2010,6192993,71.73236585,237.5749496
"Equatorial Guinea","Sub-Saharan Africa",2010,700401,50.84080488,846.513873
"Eritrea","Sub-Saharan Africa",2010,5253676,60.99419512,12.71147579
"Estonia","Europe & Central Asia",2010,1340161,75.42926829,897.8908241
"Ethiopia","Sub-Saharan Africa",2010,82949541,58.71509756,15.49539161
"Fiji","East Asia & Pacific",2010,860623,69.22582927,154.7707553
"Finland","Europe & Central Asia",2010,5363352,79.87073171,3955.189649
