"Subdivision","Area"
"IXa","Portuguese Waters"
"22 (Baltic)","Baltic Sea"
"23 (Baltic)","Baltic Sea"
"24 (Baltic)","Baltic Sea"
"25 (Baltic)","Baltic Sea"
"26 (Baltic)","Baltic Sea"
"27 (Baltic)","Baltic Sea"
"28 (Baltic)","Baltic Sea"
"29 (Baltic)","Baltic Sea"
"30 (Baltic)","Baltic Sea"
"31 (Baltic)","Baltic Sea"
"32 (Baltic)","Baltic Sea"
"I","Barents Sea"
"II (not specified)","Norwegian Sea"
"IIa","Norwegian Sea"
"IIb","Norwegian Sea"
"IIIa","Skagerrak and Kattegat"
"IIIb-d (not specified)","Skagerrak and Kattegat"
"IIIb+c (not specified)","Skagerrak and Kattegat"
"IIId (not specified)","Baltic Sea"
"IV (not specified)","North Sea"
"IVa","North Sea"
"IVa+b (not specified)","North Sea"
"IVa+b+IIIa (not specified)","North Sea"
"IVb","North Sea"
"IVc","North Sea"
"IX (not specified)","Portuguese Waters"
"IXb","Portuguese Waters"
"not specified","not specified"
"Va","Iceland and Faroes"
"Vb (not specified)","Iceland and Faroes"
"Vb1","Iceland and Faroes"
"Vb2","Iceland and Faroes"
"VI (not specified)","Rockall and Scotland"
"VIa","Rockall and Scotland"
"VIb","Rockall and Scotland"
"VII (not specified)","Irish Sea, Porcupine and Celtic Sea"
"VIIa","Irish Sea, Porcupine and Celtic Sea"
"VIIb","Irish Sea, Porcupine and Celtic Sea"
"VIIb+c (not specified)","Irish Sea, Porcupine and Celtic Sea"
"VIIc","Irish Sea, Porcupine and Celtic Sea"
"VIId","Irish Sea, Porcupine and Celtic Sea"
"VIId+e (not specified)","Irish Sea, Porcupine and Celtic Sea"
"VIIe","Irish Sea, Porcupine and Celtic Sea"
"VIIf","Irish Sea, Porcupine and Celtic Sea"
"VIIf-k (not specified)","Irish Sea, Porcupine and Celtic Sea"
"VIIg","Irish Sea, Porcupine and Celtic Sea"
"VIIg-k (not specified)","Irish Sea, Porcupine and Celtic Sea"
"VIIh","Irish Sea, Porcupine and Celtic Sea"
"VIII (not specified)","Bay of Biscay"
"VIIIa","Bay of Biscay"
"VIIIb","Bay of Biscay"
"VIIIc","Bay of Biscay"
"VIIId","Bay of Biscay"
"VIIIe","Bay of Biscay"
"VIIj","Irish Sea, Porcupine and Celtic Sea"
"VIIk","Irish Sea, Porcupine and Celtic Sea"
"X","Azores"
"XII","North of Azores"
"XIV (not specified)","East Greenland"
"XIVa","East Greenland"
"XIVb","East Greenland"
