"PID","county","state","area","poptotal","percollege"
561,"ADAMS","IL",0.052,66090,19.6313918
562,"ALEXANDER","IL",0.014,10626,11.2433076
563,"BOND","IL",0.022,14991,17.0338194
564,"BOONE","IL",0.017,30806,17.2789539
565,"BROWN","IL",0.018,5836,14.475999
566,"BUREAU","IL",0.05,35688,18.9046238
567,"CALHOUN","IL",0.017,5322,11.9173877
568,"CARROLL","IL",0.027,16805,16.1971209
569,"CASS","IL",0.024,13437,14.1076487
570,"CHAMPAIGN","IL",0.058,173025,41.2958081
571,"CHRISTIAN","IL",0.042,34418,13.567226
572,"CLARK","IL",0.03,15921,15.1108627
573,"CLAY","IL",0.028,14460,13.6830103
574,"CLINTON","IL",0.029,33944,15.3874693
575,"COLES","IL",0.03,51644,25.1750412
576,"COOK","IL",0.058,5105067,28.0181167
577,"CRAWFORD","IL",0.026,19464,16.9858076
578,"CUMBERLAND","IL",0.02,10670,14.5978891
579,"DE KALB","IL",0.038,77932,32.835928
580,"DE WITT","IL",0.023,16516,16.1959601
581,"DOUGLAS","IL",0.025,19464,16.8685259
582,"DU PAGE","IL",0.02,781666,42.7688669
583,"EDGAR","IL",0.036,19595,16.8399327
584,"EDWARDS","IL",0.014,7440,16.9356446
585,"EFFINGHAM","IL",0.028,31704,20.2751964
586,"FAYETTE","IL",0.044,20893,13.6029941
587,"FORD","IL",0.03,14275,17.8273561
588,"FRANKLIN","IL",0.025,40319,14.7056662
589,"FULTON","IL",0.052,38080,15.5321976
590,"GALLATIN","IL",0.019,6909,11.3675214
591,"GREENE","IL",0.033,15317,13.0495464
592,"GRUNDY","IL",0.026,32337,18.3778784
593,"HAMILTON","IL",0.025,8499,14.0467657
594,"HANCOCK","IL",0.047,21373,20.6605223
595,"HARDIN","IL",0.009,5189,14.3184422
596,"HENDERSON","IL",0.023,8096,13.7735504
597,"HENRY","IL",0.051,51159,18.7236334
598,"IROQUOIS","IL",0.067,30787,15.1666829
599,"JACKSON","IL",0.036,61067,36.6436653
600,"JASPER","IL",0.029,10609,15.0256035
601,"JEFFERSON","IL",0.033,37020,18.3698955
602,"JERSEY","IL",0.023,20539,14.7583093
603,"JO DAVIESS","IL",0.035,21821,16.4133528
