"Distillery","Region","Latitude","Longitude","Body","Sweetness","Smoky","Medicinal","Tobacco","Honey","Spicy","Winey","Nutty","Malty","Fruity","Floral"
"Aberfeldy","Highland",286580,749680,2,2,2,0,0,2,1,2,2,2,2,2
"Aberlour","Speyside",326340,842570,3,3,1,0,0,4,3,2,2,3,3,2
"AnCnoc","Highland",352960,839320,1,3,2,0,0,2,0,0,2,2,3,2
"Ardbeg","Islay",141560,646220,4,1,4,4,0,0,2,0,1,2,1,0
"Ardmore","Speyside",355350,829140,2,2,2,0,0,1,1,1,2,3,1,1
"ArranIsleOf","Highland",194050,649950,2,3,1,1,0,1,1,1,0,1,1,2
"Auchentoshan","Lowland",247670,672610,0,2,0,0,0,1,1,0,2,2,3,3
"Auchroisk","Speyside",340754,848623,2,3,1,0,0,2,1,2,2,2,2,1
"Aultmore","Speyside",340754,848623,2,2,1,0,0,1,0,0,2,2,2,2
"Balblair","Highland",270820,885770,2,3,2,1,0,0,2,0,2,1,2,1
"Balmenach","Speyside",307750,827170,4,3,2,0,0,2,1,3,3,0,1,2
"Belvenie","Speyside",332680,840840,3,2,1,0,0,3,2,1,0,2,2,2
"BenNevis","Highland",212600,775710,4,2,2,0,0,2,2,0,2,2,2,2
"Benriach","Speyside",323450,858380,2,2,1,0,0,2,2,0,0,2,3,2
"Benrinnes","Speyside",325800,839920,3,2,2,0,0,3,1,1,2,3,2,2
"Benromach","Speyside",303330,859350,2,2,2,0,0,2,2,1,2,2,2,2
"Bladnoch","Lowland",242260,554260,1,2,1,0,0,0,1,1,0,2,2,3
"BlairAthol","Highland",294860,757580,2,2,2,0,0,1,2,2,2,2,2,2
"Bowmore","Islay",131330,659720,2,2,3,1,0,2,2,1,1,1,1,2
"Bruichladdich","Islay",126680,661400,1,1,2,2,0,2,2,1,2,2,2,2
"Bunnahabhain","Islay",142210,673170,1,2,1,1,0,1,1,1,1,2,2,3
"CaolIla","Islay",142920,670040,3,1,4,2,1,0,2,0,2,1,1,1
"Cardhu","Speyside",318790,843090,1,3,1,0,0,1,1,0,2,2,2,2
"Clynelish","Highland",290250,904230,3,2,3,3,1,0,2,0,1,1,2,0
"Craigallechie","Speyside",328920,844920,2,2,2,0,1,2,2,1,2,2,1,4
"Cragganmore","Speyside",316600,836370,2,3,2,1,0,0,1,0,2,2,2,2
"Dailuaine","Speyside",323520,841010,4,2,2,0,0,1,2,2,2,2,2,1
"Dalmore","Highland",266610,868730,3,2,2,1,0,1,2,2,1,2,3,1
"Dalwhinnie","Speyside",263670,785270,2,2,2,0,0,2,1,0,1,2,2,2
"Deanston","Highland",271570,701570,2,2,1,0,0,2,1,1,1,3,2,1
"Dufftown","Speyside",332360,839200,2,3,1,1,0,0,0,0,1,2,2,2
"Edradour","Highland",295960,757940,2,3,1,0,0,2,1,1,4,2,2,2
"Glenallachie","Speyside",326490,841240,1,3,1,0,0,1,1,0,1,2,2,2
"GlenDeveronMacduff","Speyside",372120,860400,2,3,1,1,1,1,1,2,0,2,0,1
"Glendronach","Speyside",361200,844930,4,2,2,0,0,2,1,4,2,2,2,0
"Glendullan","Speyside",333000,840300,3,2,1,0,0,2,1,2,1,2,3,2
"GlenElgin","Speyside",322640,861040,2,3,1,0,0,2,1,1,1,1,2,3
"Glenfarclas","Speyside",320950,838160,2,4,1,0,0,1,2,3,2,3,2,2
"Glenfiddich","Speyside",332680,840840,1,3,1,0,0,0,0,0,0,2,2,2
